q,trait,reverse
אני מקפיד לבדוק את העבודה שלי פעמיים גם כשיש לחץ זמן.,Conscientiousness,FALSE
אני מרגיש בנוח לקחת הובלה כשלאף אחד אחר אין מושג מה לעשות.,Extraversion,FALSE
קשה לי מאוד לקבל ביקורת מאנשים שצעירים ממני.,Agreeableness,TRUE
אני נשאר רגוע לחלוטין גם כשאני נמצא בסיטואציה חברתית מתוחה.,Emotionality,TRUE
"אם אוכל להרוויח סכום כסף גדול בדרך לא אתית אך חוקית, אעשה זאת.",Honesty-Humility,TRUE
אני נהנה לפתור בעיות לוגיות מורכבות בזמני הפנוי.,Openness to Experience,FALSE
"כשאני עושה טעות, אני מודה בה מיד ולא מנסה להסתיר אותה.",Honesty-Humility,FALSE
אני נוטה לאבד את הריכוז כשהמשימה הופכת למונוטונית.,Conscientiousness,TRUE
אני מעדיף לעבוד לבד מאשר לשתף פעולה עם קבוצה.,Extraversion,TRUE
קל לי מאוד להבין מה אדם אחר מרגיש רק לפי מבט בפניו.,Emotionality,FALSE
אני תמיד מחפש דרכים חדשות לייעל את צורת העבודה שלי.,Openness to Experience,FALSE
אני מאמין שכללים נועדו עבור אנשים שאין להם שיקול דעת עצמאי.,Honesty-Humility,TRUE
"גם כשאני כועס מאוד, אני לא מרים את הקול על אנשים אחרים.",Agreeableness,FALSE
אני דואג לגבי דברים שאולי יקרו בעתיד הרחוק.,Emotionality,FALSE
אני תמיד מגיע לפגישות כמה דקות לפני הזמן.,Conscientiousness,FALSE
אני די אשתעמם מביקור בגלריה לאומנות.,Openness to Experience,TRUE
"אני מתכנן קדימה ומארגן את הדברים, כדי להימנע מערבול ברגע האחרון.",Conscientiousness,FALSE
"אני כמעט ולא שומר טינה, גם נגד אנשים שעשו לי עוול קשה.",Agreeableness,FALSE
באופן כללי אני מרגיש מרוצה למדי מעצמי.,Extraversion,FALSE
הייתי מרגיש מפוחד אם הייתי צריך לנסוע בתנאי מזג אוויר גרועים.,Emotionality,FALSE
לא הייתי משתמש בחנופה כדי לקבל העלאה במשכורת או קידום.,Honesty-Humility,FALSE
אני מעוניין ללמוד על ההיסטוריה והפוליטיקה של מדינות אחרות.,Openness to Experience,FALSE
לעתים קרובות כשאני מנסה להשיג מטרה אני דוחף את עצמי קשה מאוד.,Conscientiousness,FALSE
אנשים לפעמים אומרים לי שאני ביקורתי מדי כלפי אחרים.,Agreeableness,TRUE
אני כמעט ולא מביע את הדעות שלי במפגשים קבוצתיים.,Extraversion,TRUE
לפעמים אני לא יכול שלא לדאוג לגבי דברים קטנים.,Emotionality,FALSE
"אם אדע שלעולם לא יתפסו אותי, הייתי מוכן לגנוב מיליון דולר.",Honesty-Humility,TRUE
"אני אהנה ליצור יצירת אמנות, כמו לכתוב רומן, שיר או ציור.",Openness to Experience,FALSE
"כאשר אני עובד על משהו, אני לא מקדיש תשומת לב רבה מידי לפרטים קטנים.",Conscientiousness,TRUE
אנשים לפעמים אומרים לי שאני עקשן מדי.,Agreeableness,TRUE
אני מעדיף מקומות עבודה שכוללים אינטראקציה חברתית פעילה.,Extraversion,FALSE
"כאשר אני סובל מחוויה מכאיבה, אני צריך מישהו שיגרום לי להרגיש בנוח.",Emotionality,FALSE
שיהיה לי הרבה כסף זה לא משהו שחשוב לי באופן מיוחד.,Honesty-Humility,FALSE
אני חושב שלהקדיש תשומת לב לרעיונות רדיקליים זה בזבוז הזמן.,Openness to Experience,TRUE
אני מקבל החלטות על סמך התחושה של הרגע ולא על בסיס מחשבה זהירה.,Conscientiousness,TRUE
אנשים חושבים עליי כמישהו שיש לו מזג חם.,Agreeableness,TRUE
"ברוב הימים, אני מרגיש עליז ואופטימי.",Extraversion,FALSE
אני מרגיש שבא לי לבכות כשאני רואה אנשים אחרים בוכים.,Emotionality,FALSE
אני חושב שמגיע לי יותר כבוד מזה המגיע לאדם הממוצע.,Honesty-Humility,TRUE
"אם הייתה לי ההזדמנות, הייתי רוצה להשתתף בקונצרט מוסיקה קלאסית.",Openness to Experience,FALSE
"כאשר עובדים, לפעמים יש לי קשיים בשל היותי לא מאורגן.",Conscientiousness,TRUE
"היחס שלי לאנשים שהתייחסו אליי רע הוא ""לסלוח ולשכוח.""",Agreeableness,FALSE
אני מרגיש שאני אדם לא פופולארי.,Extraversion,TRUE
"כשמדובר בסכנה פיזית, אני מאוד חושש.",Emotionality,FALSE
"אם אני רוצה משהו ממישהו, אני צוחק מהבדיחות הגרועות ביותר שלו.",Honesty-Humility,TRUE
"אני מרגיש רע מאוד כשאני מאחר לפגישה, אפילו בכמה דקות.",Conscientiousness,FALSE
"לדעתי, רוב האנשים דואגים לאינטרסים שלהם יותר מאשר לערכי מוסר.",Honesty-Humility,TRUE
"כשאני נמצא בקבוצה, אני בדרך כלל נותן לאחרים להוביל את השיחה.",Extraversion,TRUE
אני נוטה לסלוח לאנשים שפגעו בי ברגע שהם מבקשים סליחה.,Agreeableness,FALSE
אני נלחץ מאוד כשאני צריך לבצע משימה תחת צפייה של אחרים.,Emotionality,FALSE
"אני תמיד מחפש הזדמנויות ללמוד דברים חדשים, גם אם הם לא קשורים לעיסוקי.",Openness to Experience,FALSE
אני חושב שזה בסדר לעגל פינות אם אף אחד לא נפגע מזה.,Honesty-Humility,TRUE
אני מקפיד שהשולחן שלי יהיה מסודר לפני שאני מתחיל לעבוד.,Conscientiousness,FALSE
"כשאני נתקל בבעיה מורכבת, אני נהנה לנסות למצוא פתרון יצירתי.",Openness to Experience,FALSE
אני מרגיש חסר אונים כשדברים לא מסתדרים לפי התוכנית שלי.,Emotionality,FALSE
"אם מישהו מדבר אליי בגסות, אני מתקשה להישאר נחמד אליו.",Agreeableness,TRUE
אני אוהב להיות במרכז העניינים באירועים חברתיים.,Extraversion,FALSE
אני תמיד בודק את ההודעות שלי כמה פעמים לפני שאני שולח אותן.,Conscientiousness,FALSE
"לדעתי, להיות עשיר ומפורסם זה אחד הדברים החשובים ביותר בחיים.",Honesty-Humility,TRUE
אני נוטה להתווכח על דברים קטנים רק כדי להוכיח שאני צודק.,Agreeableness,TRUE
אני מרגיש בטוח מאוד ביכולות שלי להתמודד עם אתגרים חדשים.,Extraversion,FALSE
"כשאני רואה סרט עצוב, אני לעיתים קרובות מוצא את עצמי דומע.",Emotionality,FALSE
אני מעדיף ללכת בדרכים מוכרות מאשר לנסות דרך חדשה שאולי תקצר את הזמן.,Openness to Experience,TRUE
אני נוטה להשאיר משימות קשות לרגע האחרון.,Conscientiousness,TRUE
אני לעולם לא אשתמש במידע אישי שקיבלתי כדי להתקדם על חשבון אחרים.,Honesty-Humility,FALSE
אני מאבד את הסבלנות מהר כשאנשים מסביבי לא מבינים אותי.,Agreeableness,TRUE
"כשאני בלחץ, קל לי מאוד להתרגז על האנשים הקרובים אליי.",Agreeableness,TRUE
אני תמיד מתכנן את ההוצאות הכספיות שלי בקפידה.,Conscientiousness,FALSE
אני חושב שדמיון חשוב לא פחות מהיגיון.,Openness to Experience,FALSE
אני מרגיש לא בנוח בסיטואציות שבהן אני צריך להפגין רגשות.,Emotionality,TRUE
אני בדרך כלל האדם הראשון שמברך אנשים חדשים בחדר.,Extraversion,FALSE
"אם אגלה שעשיתי טעות שפגעה במישהו, לא אנוח עד שאתקן אותה.",Honesty-Humility,FALSE
אני נוטה לשכוח היכן הנחתי חפצים אישיים כמו מפתחות או טלפון.,Conscientiousness,TRUE
אני מרגיש רגוע גם כשאני נמצא בסביבה רועשת ועמוסה.,Emotionality,TRUE
אני תמיד מנסה לראות את הצד החיובי בכל אדם שאני פוגש.,Agreeableness,FALSE
אני חושב שזה בזבוז זמן לקרוא ספרים על פילוסופיה או תיאוריות.,Openness to Experience,TRUE
אני מרגיש שמגיע לי יחס מועדף כשאני עומד בתור ארוך.,Honesty-Humility,TRUE
אני נוטה לדחות החלטות חשובות כי אני מפחד לטעות.,Emotionality,FALSE
אני נהנה להשתתף בדיונים אינטלקטואליים שמעוררים מחשבה.,Openness to Experience,FALSE
"כשאני מבטיח משהו, אני מקיים אותו ללא קשר למאמץ שזה דורש.",Conscientiousness,FALSE
אני מוצא את עצמי חושב הרבה על מה שאנשים אחרים חושבים עליי.,Extraversion,TRUE
אני נשאר רגוע כשאנשים מבקרים את העבודה שלי.,Agreeableness,FALSE
אני חושב שהצלחה בחיים נמדדת בעיקר בכמות הכסף שיש לאדם.,Honesty-Humility,TRUE
אני מעדיף לעבוד על כמה פרויקטים במקביל מאשר להתרכז באחד.,Conscientiousness,TRUE
אני מרגיש חמלה רבה כלפי בעלי חיים שסובלים.,Emotionality,FALSE
"אני תמיד מחפש את הדרך המדויקת ביותר לבצע משימה, גם אם זה לוקח יותר זמן.",Conscientiousness,FALSE
אני מוצא את זה קשה להודות בטעות מול אנשים שמעריכים אותי.,Honesty-Humility,TRUE
אני נהנה לחקור נושאים לעומק עד שאני מבין כל פרט קטן.,Openness to Experience,FALSE
אני נוטה להיבהל בקלות מרעשים פתאומיים או מצבים לא צפויים.,Emotionality,FALSE
"אם אקבל עודף גדול מדי בטעות, לא תמיד ארגיש צורך לדווח על כך.",Honesty-Humility,TRUE
אני מרגיש מלא מרץ כשאני צריך לעבוד תחת לחץ זמן כבד.,Extraversion,FALSE
אני נוטה להתווכח עם אנשים שמעבירים ביקורת על דעותיי המקצועיות.,Agreeableness,TRUE
אני מעדיף לתכנן את חופשותיי לפרטי פרטים ולא להשאיר דבר ליד המקרה.,Conscientiousness,FALSE
אני חושב שרוב האמנות המודרנית היא חסרת משמעות.,Openness to Experience,TRUE
אני מוצא את עצמי דואג לבריאות שלי הרבה יותר ממה שאנשים אחרים דואגים.,Emotionality,FALSE
אני מוכן להתפשר על עקרונותיי אם זה יעזור לי להתקדם בקריירה.,Honesty-Humility,TRUE
אני נהנה להיות זה שמקבל את ההחלטות הקשות בקבוצה.,Extraversion,FALSE
אני נוטה לאבד עניין במשימות שדורשות תשומת לב ממושכת לפרטים.,Conscientiousness,TRUE
אני מרגיש אמפתיה עמוקה כלפי אנשים שעוברים תקופות קשות בחיים.,Emotionality,FALSE
"אני מוצא את זה משעמם לנהל שיחות חולין (""Small talk"") עם זרים.",Extraversion,TRUE
אני תמיד מנסה להבין את המניעים של אנשים לפני שאני שופט אותם.,Agreeableness,FALSE
אני חושב שלמידה על תרבויות רחוקות היא בזבוז זמן.,Openness to Experience,TRUE
אני מרגיש גאווה גדולה כשאני עושה עבודה מושלמת ללא שום פגם.,Conscientiousness,FALSE
אני לעולם לא אשתמש בחנופה כדי להשיג יתרון על פני קולגות.,Honesty-Humility,FALSE
אני נוטה להיות האדם השקט ביותר בחדר מלא באנשים.,Extraversion,TRUE
אני מרגיש חסר מנוחה כשאני לא עוסק במשהו יצרני.,Conscientiousness,FALSE
אני נוטה להיפגע בקלות מהערות סרקסטיות של חברים.,Emotionality,FALSE
"אני מאמין שכל אדם צריך לקבל הזדמנות שנייה, לא משנה מה עשה.",Agreeableness,FALSE
אני נהנה לבקר במוזיאונים למדע וטכנולוגיה.,Openness to Experience,FALSE
אני תמיד מקפיד להחזיר חפצים שלקחתי בדיוק למקום שלהם.,Conscientiousness,FALSE
אני חושב שזה לגיטימי להשתמש בקשרים אישיים כדי לעקוף את התור.,Honesty-Humility,TRUE
אני מרגיש בנוח לדבר על הטעויות והחולשות שלי עם אחרים.,Extraversion,FALSE
אני נוטה לדאוג לגבי מה שיקרה אם אכשל במשימה חשובה.,Emotionality,FALSE
"אני תמיד פתוח לשמוע דעות שונות משלי, גם אם הן נראות לי מוזרות.",Openness to Experience,FALSE
אני מוצא את זה קשה לסלוח לאנשים ששיקרו לי פעם אחת.,Agreeableness,TRUE
אני מרגיש סיפוק רב כשאני מצליח לעזור למישהו לפתור בעיה אישית.,Emotionality,FALSE
אני מעדיף לעבוד בסביבה שבה הכללים ברורים וקבועים מראש.,Conscientiousness,FALSE
אני חושב שצניעות היא תכונה שמוערכת יתר על המידה בחברה שלנו.,Honesty-Humility,TRUE
אני נהנה לארגן אירועים חברתיים עבור החברים שלי.,Extraversion,FALSE
אני נוטה להגיב בכעס כשמישהו מעכב אותי בביצוע העבודה שלי.,Agreeableness,TRUE
אני מרגיש שיש לי דמיון עשיר מאוד שמלווה אותי ביום-יום.,Openness to Experience,FALSE
אני תמיד בודק שהדלת נעולה כמה פעמים לפני שאני הולך לישון.,Conscientiousness,FALSE
"אני מרגיש רגוע כמעט בכל מצב, גם כשיש סביבי כאוס.",Emotionality,TRUE
אני לעולם לא אקח קרדיט על עבודה שמישהו אחר עשה.,Honesty-Humility,FALSE
אני מעדיף לקרוא ספרי עיון מאשר ספרי עלילה או פנטזיה.,Openness to Experience,FALSE
אני מרגיש סיפוק רב כשאני מצליח לארגן לוח זמנים מורכב בצורה מושלמת.,Conscientiousness,FALSE
אני חושב שזה בזבוז זמן לנסות להבין רגשות של אנשים שהתנהגו אליי רע.,Agreeableness,TRUE
"כשאני נתקל במושג חדש שאני לא מכיר, אני מיד מחפש עליו מידע.",Openness to Experience,FALSE
אני מוצא את עצמי נלחץ מאוד כשאני צריך לקבל החלטה גורלית תחת לחץ.,Emotionality,FALSE
אני מאמין שהדרך המהירה ביותר להצליח היא לנצל חולשות של אחרים.,Honesty-Humility,TRUE
אני נהנה להוביל שיחות בקבוצות גדולות של אנשים.,Extraversion,FALSE
"אני מקפיד לסיים כל מה שהתחלתי, גם אם זה כבר לא מעניין אותי.",Conscientiousness,FALSE
אני מרגיש בנוח לבקש עזרה מאחרים כשאני לא מסתדר לבד.,Emotionality,FALSE
אני חושב שכללים ונהלים הם המלצה בלבד עבור אנשים חכמים.,Honesty-Humility,TRUE
אני נוטה לראות את חצי הכוס המלאה בכל סיטואציה קשה.,Extraversion,FALSE
קשה לי מאוד לקבל שינויים פתאומיים בתוכניות שלי.,Openness to Experience,TRUE
אני מרגיש צורך עז להגן על אנשים שמתייחסים אליהם בחוסר צדק.,Agreeableness,FALSE
אני נוטה לשכוח פרטים קטנים כשאני עובד על פרויקט גדול.,Conscientiousness,TRUE
אני מרגיש מאוד בטוח בעצמי כשאני מדבר עם דמויות סמכותיות.,Extraversion,FALSE
"אני מוצא את עצמי חושב על ""מה היה קורה אילו"" לגבי טעויות מהעבר.",Emotionality,FALSE
אני לעולם לא אעמיד פנים שאני חבר של מישהו רק כדי לקבל ממנו טובה.,Honesty-Humility,FALSE
אני נהנה לפרק דברים לחלקים כדי להבין איך הם עובדים.,Openness to Experience,FALSE
אני נוטה להגיב באימפולסיביות כשאני כועס.,Agreeableness,TRUE
אני תמיד דואג שהציוד שלי יהיה במצב תקין ומוכן לשימוש.,Conscientiousness,FALSE
אני חושב שזה מוצדק לשקר אם האמת תפגע במישהו ללא צורך.,Honesty-Humility,TRUE
אני מרגיש מרוקן מאנרגיה אחרי אינטראקציה חברתית ממושכת.,Extraversion,TRUE
אני נוטה להאשים את עצמי כשדברים לא מסתדרים כמו שרציתי.,Emotionality,FALSE
אני תמיד מחפש את השיטה המדעית המוכחת ביותר לביצוע מטלה.,Openness to Experience,FALSE
אני מרגיש סיפוק רב כשאני מצליח להתאפק ולא להגיב לאנשים מעצבנים.,Agreeableness,FALSE
אני נוטה לעבוד בצורה מבולגנת כשאני נמצא תחת לחץ.,Conscientiousness,TRUE
אני חושב שצניעות היא תכונה של אנשים חלשים.,Honesty-Humility,TRUE
אני נהנה לנסות מאכלים חדשים ומשונים שלא טעמתי מעולם.,Openness to Experience,FALSE
אני תמיד מוודא שאנשים סביבי מרגישים בנוח ובטוח.,Agreeableness,FALSE
אני נוטה לדאוג לגבי המצב הכלכלי שלי גם כשיש לי מספיק כסף.,Emotionality,FALSE
אני מרגיש בנוח להיות במרכז תשומת הלב.,Extraversion,FALSE
אני תמיד בודק את המקורות של המידע שאני קורא באינטרנט.,Conscientiousness,FALSE
אני מאמין שכל אדם דואג רק לעצמו בסופו של דבר.,Honesty-Humility,TRUE
אני נהנה לחשוב על רעיונות פילוסופיים מופשטים.,Openness to Experience,FALSE
אני נוטה לאבד את העשתונות כשאני נמצא במצב של עומס יתר.,Emotionality,FALSE
"אני תמיד מקפיד לומר ""תודה"" ו""בבקשה"" לכל אדם.",Agreeableness,FALSE
אני נוטה להעדיף סדר וניקיון על פני נוחות.,Conscientiousness,FALSE
אני חושב ששימוש בכוח הוא לעיתים הדרך היחידה להשיג כבוד.,Honesty-Humility,TRUE
אני נהנה ללמוד שפות חדשות או להכיר תרבויות שונות.,Openness to Experience,FALSE
אני נוטה להסתיר את הרגשות שלי כדי לא להיראות חלש.,Emotionality,TRUE
אני תמיד מנסה לעשות מעבר למה שנדרש ממני בעבודה.,Conscientiousness,FALSE
אני מרגיש לא בנוח כשאנשים מחמיאים לי יותר מדי.,Honesty-Humility,FALSE
אני נוטה להשתעמם מהר אם אין לי אתגרים חדשים.,Openness to Experience,FALSE
אני תמיד מקשיב לכל הצדדים בוויכוח לפני שאני מגבש דעה.,Agreeableness,FALSE
אני מרגיש חוסר ביטחון כשאני צריך לבצע משימה בפעם הראשונה.,Emotionality,FALSE
אני תמיד מקפיד לסגור את כל המטלות שלי לפני סוף היום.,Conscientiousness,FALSE
אני חושב שהישגים אישיים חשובים יותר מעזרה לזולת.,Honesty-Humility,TRUE
אני נהנה לפתור חידות ומשחקי היגיון בזמני הפנוי.,Openness to Experience,FALSE
אני נוטה להיפגע עמוק מביקורת של אנשים שקרובים אליי.,Emotionality,FALSE
"אני תמיד שומר על קור רוח, גם כשהתוכניות משתבשות ברגע האחרון.",Agreeableness,FALSE
אני מעדיף לתכנן הכל מראש ולא להשאיר מקום להפתעות.,Conscientiousness,FALSE
אני מרגיש מחויבות מוסרית לעזור לאנשים שפחות מזלם משלי.,Honesty-Humility,FALSE
אני נוטה להאמין שרוב האנשים ירמו אם רק תינתן להם ההזדמנות.,Honesty-Humility,TRUE
אני נהנה לחשוב על רעיונות תיאורטיים גם אם אין להם יישום מעשי.,Openness to Experience,FALSE
אני תמיד בודק פעמיים אם כיביתי את האורות או נעלתי את הדלת.,Conscientiousness,FALSE
קל לי מאוד להתאושש מכישלונות ולהמשיך הלאה.,Emotionality,TRUE
אני מוצא את עצמי מתעצבן מהר כשאנשים מדברים לאט מדי.,Agreeableness,TRUE
אני מרגיש בנוח להציג את דעותיי גם כשהן מנוגדות לדעת הרוב.,Extraversion,FALSE
אני נוטה להשקיע יותר מאמץ בעבודה כשמישהו צופה בי.,Conscientiousness,TRUE
אני חושב שזה בסדר לקבל מתנות יקרות בתמורה לטובות הנאה קטנות.,Honesty-Humility,TRUE
אני נהנה לקרוא על גילויים מדעיים חדשים בכתבי עת.,Openness to Experience,FALSE
אני דואג מאוד לגבי מה שיחשבו עליי אם אעשה טעות מטופשת.,Emotionality,FALSE
"אני תמיד משתדל להיות מנומס, גם כלפי אנשים שלא נחמדים אליי.",Agreeableness,FALSE
אני מרגיש מלא ביטחון כשאני צריך ללמוד מיומנות טכנית חדשה.,Openness to Experience,FALSE
אני מעדיף שמישהו אחר יקבל את ההחלטות הגדולות בצוות.,Extraversion,TRUE
אני נוטה לאבד את הריכוז אם הסביבה שלי מבולגנת.,Conscientiousness,FALSE
אני חושב שזה בזבוז זמן לנסות להבין אמנות מופשטת.,Openness to Experience,TRUE
אני תמיד מחזיר חובות בדיוק בזמן שסיכמנו.,Honesty-Humility,FALSE
אני נוטה להרגיש אשמה כבדה גם על טעויות קטנות שעשיתי.,Emotionality,FALSE
אני נהנה לארגן פגישות ואירועים עבור קבוצות גדולות.,Extraversion,FALSE
אני חושב שחשוב מאוד לשמור על מסורות ישנות.,Openness to Experience,TRUE
אני נוטה להגיב בשלווה גם כשאנשים צועקים עליי.,Agreeableness,FALSE
אני תמיד מכין רשימת מטלות לפני שאני מתחיל יום עבודה.,Conscientiousness,FALSE
אני מאמין שכוח פוליטי חשוב יותר מאשר ערכים מוסריים.,Honesty-Humility,TRUE
אני מרגיש רגש עז כשאני שומע מוזיקה יפה במיוחד.,Openness to Experience,FALSE
קשה לי מאוד להירדם בלילה אם אני יודע שיש לי משימה לא פתורה.,Conscientiousness,FALSE
אני נוטה לבקש סליחה גם כשאני לא בטוח שטעיתי.,Agreeableness,FALSE
אני מרגיש בודד מאוד כשאני לא נמצא בקשר רציף עם אנשים.,Extraversion,FALSE
אני נוטה להיכנס לפאניקה כשאני הולך לאיבוד במקום לא מוכר.,Emotionality,FALSE
אני תמיד מקפיד לשלם את המיסים שלי עד השקל האחרון.,Honesty-Humility,FALSE
אני נהנה לחשוב על הדרכים שבהן העולם ישתנה בעוד 50 שנה.,Openness to Experience,FALSE
אני נוטה להתעלם מפרטים קטנים כדי לראות את התמונה הגדולה.,Conscientiousness,TRUE
אני מרגיש סיפוק כשאני יודע שאנשים רואים בי סמכות מקצועית.,Extraversion,FALSE
קשה לי מאוד לשלוח יד ולבקש עזרה כשאני בצרה.,Emotionality,TRUE
אני תמיד מנסה למצוא פשרה שתרצה את כולם בוויכוח.,Agreeableness,FALSE
אני חושב שזה טיפשי להוציא כסף על מוצרי יוקרה רק בשביל הרושם.,Honesty-Humility,FALSE
אני נהנה לפרק מכשירים חשמליים כדי לראות איך הם בנויים.,Openness to Experience,FALSE
אני נוטה להיות מאוד ביקורתי כלפי עצמי כשאני נכשל.,Emotionality,FALSE
"אני תמיד מסיים את מה שאני אוכל, כדי לא לבזבז אוכל.",Conscientiousness,FALSE
אני מרגיש בנוח לדבר עם אנשים ממעמד חברתי גבוה משלי.,Extraversion,FALSE
אני נוטה להשתמש בציניות כשאני לא מסכים עם מישהו.,Agreeableness,TRUE
אני חושב שחוקים הם בגדר המלצה כשהם לא הגיוניים בעיניי.,Honesty-Humility,TRUE
אני נהנה ללמוד על ההיסטוריה של המדע.,Openness to Experience,FALSE
אני נוטה לדאוג לגבי הבטיחות של האנשים הקרובים אליי.,Emotionality,FALSE
אני תמיד מקפיד לנקות אחרי בטבע או במקומות ציבוריים.,Conscientiousness,FALSE
אני מרגיש שמחה גדולה כשאני רואה אנשים אחרים מצליחים.,Agreeableness,FALSE
אני מעדיף לעבוד בשקט מאשר בסביבה תחרותית.,Extraversion,TRUE
אני חושב שזה בסדר להשתמש במידע חסוי לטובתי האישית.,Honesty-Humility,TRUE
